week_iso,slug,brand,value,partial_data
2025-10-05,airfryer,dash air fryer,0,0
2025-10-12,airfryer,dash air fryer,0,0
2025-10-19,airfryer,dash air fryer,0,0
2025-10-26,airfryer,dash air fryer,0,0
2025-11-02,airfryer,dash air fryer,0,0
2025-11-09,airfryer,dash air fryer,0,0
2025-11-16,airfryer,dash air fryer,0,0
2025-11-23,airfryer,dash air fryer,0,0
2025-11-30,airfryer,dash air fryer,0,0
2025-12-07,airfryer,dash air fryer,0,0
2025-12-14,airfryer,dash air fryer,0,0
2025-12-21,airfryer,dash air fryer,0,0
2025-12-28,airfryer,dash air fryer,0,0
2026-01-04,airfryer,dash air fryer,0,0
2026-01-11,airfryer,dash air fryer,0,0
2026-01-18,airfryer,dash air fryer,0,0
2026-01-25,airfryer,dash air fryer,0,0
2026-02-01,airfryer,dash air fryer,0,0
2026-02-08,airfryer,dash air fryer,0,0
2026-02-15,airfryer,dash air fryer,0,0
2026-02-22,airfryer,dash air fryer,0,0
2026-03-01,airfryer,dash air fryer,0,0
2026-03-08,airfryer,dash air fryer,0,0
2026-03-15,airfryer,dash air fryer,0,0
2026-03-22,airfryer,dash air fryer,0,0
2026-03-29,airfryer,dash air fryer,2,0
2026-04-05,airfryer,dash air fryer,5,0
2026-04-12,airfryer,dash air fryer,6,0
2026-04-19,airfryer,dash air fryer,5,0
2026-04-26,airfryer,dash air fryer,3,0
2026-05-03,airfryer,dash air fryer,1,0
2026-05-10,airfryer,dash air fryer,4,0
2026-05-17,airfryer,dash air fryer,3,1
2025-05-18,airfryer,gourmia,0,0
2025-05-25,airfryer,gourmia,0,0
2025-06-01,airfryer,gourmia,0,0
2025-06-08,airfryer,gourmia,0,0
2025-06-15,airfryer,gourmia,0,0
2025-06-22,airfryer,gourmia,0,0
2025-06-29,airfryer,gourmia,0,0
2025-07-06,airfryer,gourmia,0,0
2025-07-13,airfryer,gourmia,0,0
2025-07-20,airfryer,gourmia,0,0
2025-07-27,airfryer,gourmia,0,0
2025-08-03,airfryer,gourmia,2,0
2025-08-10,airfryer,gourmia,0,0
2025-08-17,airfryer,gourmia,0,0
2025-08-24,airfryer,gourmia,0,0
2025-08-31,airfryer,gourmia,0,0
2025-09-07,airfryer,gourmia,0,0
2025-09-14,airfryer,gourmia,5,0
2025-09-21,airfryer,gourmia,0,0
2025-09-28,airfryer,gourmia,0,0
2025-10-05,airfryer,gourmia,0,0
2025-10-12,airfryer,gourmia,0,0
2025-10-19,airfryer,gourmia,3,0
2025-10-26,airfryer,gourmia,0,0
2025-11-02,airfryer,gourmia,3,0
2025-11-09,airfryer,gourmia,0,0
2025-11-16,airfryer,gourmia,4,0
2025-11-23,airfryer,gourmia,4,0
2025-11-30,airfryer,gourmia,4,0
2025-12-07,airfryer,gourmia,3,0
2025-12-14,airfryer,gourmia,3,0
2025-12-21,airfryer,gourmia,4,0
2025-12-28,airfryer,gourmia,2,0
2026-01-04,airfryer,gourmia,0,0
2026-01-11,airfryer,gourmia,0,0
2026-01-18,airfryer,gourmia,3,0
2026-01-25,airfryer,gourmia,3,0
2026-02-01,airfryer,gourmia,0,0
2026-02-08,airfryer,gourmia,0,0
2026-02-15,airfryer,gourmia,2,0
2026-02-22,airfryer,gourmia,0,0
2026-03-01,airfryer,gourmia,0,0
2026-03-08,airfryer,gourmia,3,0
2026-03-15,airfryer,gourmia,3,0
2026-03-22,airfryer,gourmia,4,0
2026-03-29,airfryer,gourmia,6,0
2026-04-05,airfryer,gourmia,9,0
2026-04-12,airfryer,gourmia,10,0
2026-04-19,airfryer,gourmia,8,0
2026-04-26,airfryer,gourmia,6,0
2026-05-03,airfryer,gourmia,3,0
2026-05-10,airfryer,gourmia,6,0
2026-05-17,airfryer,gourmia,6,1
2025-05-18,airfryer,instant vortex,0,0
2025-05-25,airfryer,instant vortex,0,0
2025-06-01,airfryer,instant vortex,0,0
2025-06-08,airfryer,instant vortex,0,0
2025-06-15,airfryer,instant vortex,0,0
2025-06-22,airfryer,instant vortex,0,0
2025-06-29,airfryer,instant vortex,0,0
2025-07-06,airfryer,instant vortex,0,0
2025-07-13,airfryer,instant vortex,0,0
2025-07-20,airfryer,instant vortex,0,0
2025-07-27,airfryer,instant vortex,0,0
2025-08-03,airfryer,instant vortex,0,0
2025-08-10,airfryer,instant vortex,0,0
2025-08-17,airfryer,instant vortex,0,0
2025-08-24,airfryer,instant vortex,0,0
2025-08-31,airfryer,instant vortex,0,0
2025-09-07,airfryer,instant vortex,0,0
2025-09-14,airfryer,instant vortex,0,0
2025-09-21,airfryer,instant vortex,0,0
2025-09-28,airfryer,instant vortex,0,0
2025-10-05,airfryer,instant vortex,0,0
2025-10-12,airfryer,instant vortex,0,0
2025-10-19,airfryer,instant vortex,0,0
2025-10-26,airfryer,instant vortex,0,0
2025-11-02,airfryer,instant vortex,0,0
2025-11-09,airfryer,instant vortex,0,0
2025-11-16,airfryer,instant vortex,0,0
2025-11-23,airfryer,instant vortex,0,0
2025-11-30,airfryer,instant vortex,0,0
2025-12-07,airfryer,instant vortex,0,0
2025-12-14,airfryer,instant vortex,0,0
2025-12-21,airfryer,instant vortex,0,0
2025-12-28,airfryer,instant vortex,0,0
2026-01-04,airfryer,instant vortex,0,0
2026-01-11,airfryer,instant vortex,0,0
2026-01-18,airfryer,instant vortex,0,0
2026-01-25,airfryer,instant vortex,0,0
2026-02-01,airfryer,instant vortex,0,0
2026-02-08,airfryer,instant vortex,0,0
2026-02-15,airfryer,instant vortex,0,0
2026-02-22,airfryer,instant vortex,0,0
2026-03-01,airfryer,instant vortex,0,0
2026-03-08,airfryer,instant vortex,0,0
2026-03-15,airfryer,instant vortex,0,0
2026-03-22,airfryer,instant vortex,2,0
2026-03-29,airfryer,instant vortex,6,0
2026-04-05,airfryer,instant vortex,8,0
2026-04-12,airfryer,instant vortex,8,0
2026-04-19,airfryer,instant vortex,6,0
2026-04-26,airfryer,instant vortex,5,0
2026-05-03,airfryer,instant vortex,5,0
2026-05-10,airfryer,instant vortex,6,0
2026-05-17,airfryer,instant vortex,8,1
2025-05-18,airfryer,ninja air fryer,0,0
2025-05-25,airfryer,ninja air fryer,6,0
2025-06-01,airfryer,ninja air fryer,4,0
2025-06-08,airfryer,ninja air fryer,4,0
2025-06-15,airfryer,ninja air fryer,0,0
2025-06-22,airfryer,ninja air fryer,4,0
2025-06-29,airfryer,ninja air fryer,5,0
2025-07-06,airfryer,ninja air fryer,6,0
2025-07-13,airfryer,ninja air fryer,6,0
2025-07-20,airfryer,ninja air fryer,6,0
2025-07-27,airfryer,ninja air fryer,4,0
2025-08-03,airfryer,ninja air fryer,12,0
2025-08-10,airfryer,ninja air fryer,9,0
2025-08-17,airfryer,ninja air fryer,0,0
2025-08-24,airfryer,ninja air fryer,4,0
2025-08-31,airfryer,ninja air fryer,5,0
2025-09-07,airfryer,ninja air fryer,5,0
2025-09-14,airfryer,ninja air fryer,5,0
2025-09-21,airfryer,ninja air fryer,3,0
2025-09-28,airfryer,ninja air fryer,3,0
2025-10-05,airfryer,ninja air fryer,3,0
2025-10-12,airfryer,ninja air fryer,2,0
2025-10-19,airfryer,ninja air fryer,5,0
2025-10-26,airfryer,ninja air fryer,5,0
2025-11-02,airfryer,ninja air fryer,6,0
2025-11-09,airfryer,ninja air fryer,6,0
2025-11-16,airfryer,ninja air fryer,6,0
2025-11-23,airfryer,ninja air fryer,9,0
2025-11-30,airfryer,ninja air fryer,9,0
2025-12-07,airfryer,ninja air fryer,9,0
2025-12-14,airfryer,ninja air fryer,6,0
2025-12-21,airfryer,ninja air fryer,5,0
2025-12-28,airfryer,ninja air fryer,7,0
2026-01-04,airfryer,ninja air fryer,7,0
2026-01-11,airfryer,ninja air fryer,9,0
2026-01-18,airfryer,ninja air fryer,4,0
2026-01-25,airfryer,ninja air fryer,7,0
2026-02-01,airfryer,ninja air fryer,6,0
2026-02-08,airfryer,ninja air fryer,10,0
2026-02-15,airfryer,ninja air fryer,6,0
2026-02-22,airfryer,ninja air fryer,7,0
2026-03-01,airfryer,ninja air fryer,6,0
2026-03-08,airfryer,ninja air fryer,4,0
2026-03-15,airfryer,ninja air fryer,13,0
2026-03-22,airfryer,ninja air fryer,43,0
2026-03-29,airfryer,ninja air fryer,73,0
2026-04-05,airfryer,ninja air fryer,84,0
2026-04-12,airfryer,ninja air fryer,97,0
2026-04-19,airfryer,ninja air fryer,85,0
2026-04-26,airfryer,ninja air fryer,79,0
2026-05-03,airfryer,ninja air fryer,93,0
2026-05-10,airfryer,ninja air fryer,100,0
2026-05-17,airfryer,ninja air fryer,66,1
2025-05-18,coffee,breville,1,0
2025-05-25,coffee,breville,1,0
2025-06-01,coffee,breville,1,0
2025-06-08,coffee,breville,1,0
2025-06-15,coffee,breville,1,0
2025-06-22,coffee,breville,1,0
2025-06-29,coffee,breville,1,0
2025-07-06,coffee,breville,2,0
2025-07-13,coffee,breville,1,0
2025-07-20,coffee,breville,1,0
2025-07-27,coffee,breville,1,0
2025-08-03,coffee,breville,1,0
2025-08-10,coffee,breville,2,0
2025-08-17,coffee,breville,1,0
2025-08-24,coffee,breville,1,0
2025-08-31,coffee,breville,1,0
2025-09-07,coffee,breville,1,0
2025-09-14,coffee,breville,1,0
2025-09-21,coffee,breville,1,0
2025-09-28,coffee,breville,1,0
2025-10-05,coffee,breville,1,0
2025-10-12,coffee,breville,1,0
2025-10-19,coffee,breville,1,0
2025-10-26,coffee,breville,1,0
2025-11-02,coffee,breville,1,0
2025-11-09,coffee,breville,1,0
2025-11-16,coffee,breville,2,0
2025-11-23,coffee,breville,2,0
2025-11-30,coffee,breville,2,0
2025-12-07,coffee,breville,1,0
2025-12-14,coffee,breville,2,0
2025-12-21,coffee,breville,1,0
2025-12-28,coffee,breville,2,0
2026-01-04,coffee,breville,1,0
2026-01-11,coffee,breville,1,0
2026-01-18,coffee,breville,1,0
2026-01-25,coffee,breville,1,0
2026-02-01,coffee,breville,1,0
2026-02-08,coffee,breville,2,0
2026-02-15,coffee,breville,2,0
2026-02-22,coffee,breville,1,0
2026-03-01,coffee,breville,2,0
2026-03-08,coffee,breville,1,0
2026-03-15,coffee,breville,8,0
2026-03-22,coffee,breville,34,0
2026-03-29,coffee,breville,67,0
2026-04-05,coffee,breville,78,0
2026-04-12,coffee,breville,79,0
2026-04-19,coffee,breville,77,0
2026-04-26,coffee,breville,77,0
2026-05-03,coffee,breville,82,0
2026-05-10,coffee,breville,100,0
2026-05-17,coffee,breville,75,1
2025-05-18,coffee,cuisinart coffee,0,0
2025-05-25,coffee,cuisinart coffee,0,0
2025-06-01,coffee,cuisinart coffee,0,0
2025-06-08,coffee,cuisinart coffee,0,0
2025-06-15,coffee,cuisinart coffee,0,0
2025-06-22,coffee,cuisinart coffee,0,0
2025-06-29,coffee,cuisinart coffee,0,0
2025-07-06,coffee,cuisinart coffee,0,0
2025-07-13,coffee,cuisinart coffee,0,0
2025-07-20,coffee,cuisinart coffee,0,0
2025-07-27,coffee,cuisinart coffee,0,0
2025-08-03,coffee,cuisinart coffee,0,0
2025-08-10,coffee,cuisinart coffee,0,0
2025-08-17,coffee,cuisinart coffee,0,0
2025-08-24,coffee,cuisinart coffee,0,0
2025-08-31,coffee,cuisinart coffee,0,0
2025-09-07,coffee,cuisinart coffee,0,0
2025-09-14,coffee,cuisinart coffee,0,0
2025-09-21,coffee,cuisinart coffee,0,0
2025-09-28,coffee,cuisinart coffee,0,0
2025-10-05,coffee,cuisinart coffee,0,0
2025-10-12,coffee,cuisinart coffee,0,0
2025-10-19,coffee,cuisinart coffee,0,0
2025-10-26,coffee,cuisinart coffee,0,0
2025-11-02,coffee,cuisinart coffee,0,0
2025-11-09,coffee,cuisinart coffee,0,0
2025-11-16,coffee,cuisinart coffee,0,0
2025-11-23,coffee,cuisinart coffee,0,0
2025-11-30,coffee,cuisinart coffee,0,0
2025-12-07,coffee,cuisinart coffee,0,0
2025-12-14,coffee,cuisinart coffee,0,0
2025-12-21,coffee,cuisinart coffee,0,0
2025-12-28,coffee,cuisinart coffee,0,0
2026-01-04,coffee,cuisinart coffee,0,0
2026-01-11,coffee,cuisinart coffee,0,0
2026-01-18,coffee,cuisinart coffee,0,0
2026-01-25,coffee,cuisinart coffee,0,0
2026-02-01,coffee,cuisinart coffee,0,0
2026-02-08,coffee,cuisinart coffee,0,0
2026-02-15,coffee,cuisinart coffee,0,0
2026-02-22,coffee,cuisinart coffee,0,0
2026-03-01,coffee,cuisinart coffee,0,0
2026-03-08,coffee,cuisinart coffee,0,0
2026-03-15,coffee,cuisinart coffee,1,0
2026-03-22,coffee,cuisinart coffee,2,0
2026-03-29,coffee,cuisinart coffee,4,0
2026-04-05,coffee,cuisinart coffee,4,0
2026-04-12,coffee,cuisinart coffee,5,0
2026-04-19,coffee,cuisinart coffee,5,0
2026-04-26,coffee,cuisinart coffee,5,0
2026-05-03,coffee,cuisinart coffee,6,0
2026-05-10,coffee,cuisinart coffee,6,0
2026-05-17,coffee,cuisinart coffee,5,1
2025-05-18,coffee,keurig,1,0
2025-05-25,coffee,keurig,1,0
2025-06-01,coffee,keurig,1,0
2025-06-08,coffee,keurig,1,0
2025-06-15,coffee,keurig,1,0
2025-06-22,coffee,keurig,1,0
2025-06-29,coffee,keurig,1,0
2025-07-06,coffee,keurig,1,0
2025-07-13,coffee,keurig,1,0
2025-07-20,coffee,keurig,2,0
2025-07-27,coffee,keurig,1,0
2025-08-03,coffee,keurig,2,0
2025-08-10,coffee,keurig,2,0
2025-08-17,coffee,keurig,2,0
2025-08-24,coffee,keurig,1,0
2025-08-31,coffee,keurig,1,0
2025-09-07,coffee,keurig,1,0
2025-09-14,coffee,keurig,2,0
2025-09-21,coffee,keurig,1,0
2025-09-28,coffee,keurig,1,0
2025-10-05,coffee,keurig,1,0
2025-10-12,coffee,keurig,1,0
2025-10-19,coffee,keurig,2,0
2025-10-26,coffee,keurig,1,0
2025-11-02,coffee,keurig,2,0
2025-11-09,coffee,keurig,2,0
2025-11-16,coffee,keurig,2,0
2025-11-23,coffee,keurig,2,0
2025-11-30,coffee,keurig,2,0
2025-12-07,coffee,keurig,2,0
2025-12-14,coffee,keurig,2,0
2025-12-21,coffee,keurig,2,0
2025-12-28,coffee,keurig,2,0
2026-01-04,coffee,keurig,2,0
2026-01-11,coffee,keurig,1,0
2026-01-18,coffee,keurig,1,0
2026-01-25,coffee,keurig,1,0
2026-02-01,coffee,keurig,2,0
2026-02-08,coffee,keurig,2,0
2026-02-15,coffee,keurig,2,0
2026-02-22,coffee,keurig,1,0
2026-03-01,coffee,keurig,2,0
2026-03-08,coffee,keurig,1,0
2026-03-15,coffee,keurig,1,0
2026-03-22,coffee,keurig,1,0
2026-03-29,coffee,keurig,4,0
2026-04-05,coffee,keurig,4,0
2026-04-12,coffee,keurig,5,0
2026-04-19,coffee,keurig,4,0
2026-04-26,coffee,keurig,3,0
2026-05-03,coffee,keurig,2,0
2026-05-10,coffee,keurig,4,0
2026-05-17,coffee,keurig,3,1
2025-05-18,coffee,nespresso,1,0
2025-05-25,coffee,nespresso,1,0
2025-06-01,coffee,nespresso,1,0
2025-06-08,coffee,nespresso,1,0
2025-06-15,coffee,nespresso,1,0
2025-06-22,coffee,nespresso,1,0
2025-06-29,coffee,nespresso,1,0
2025-07-06,coffee,nespresso,2,0
2025-07-13,coffee,nespresso,1,0
2025-07-20,coffee,nespresso,2,0
2025-07-27,coffee,nespresso,2,0
2025-08-03,coffee,nespresso,2,0
2025-08-10,coffee,nespresso,3,0
2025-08-17,coffee,nespresso,1,0
2025-08-24,coffee,nespresso,1,0
2025-08-31,coffee,nespresso,1,0
2025-09-07,coffee,nespresso,1,0
2025-09-14,coffee,nespresso,1,0
2025-09-21,coffee,nespresso,2,0
2025-09-28,coffee,nespresso,1,0
2025-10-05,coffee,nespresso,1,0
2025-10-12,coffee,nespresso,1,0
2025-10-19,coffee,nespresso,2,0
2025-10-26,coffee,nespresso,1,0
2025-11-02,coffee,nespresso,2,0
2025-11-09,coffee,nespresso,1,0
2025-11-16,coffee,nespresso,2,0
2025-11-23,coffee,nespresso,2,0
2025-11-30,coffee,nespresso,2,0
2025-12-07,coffee,nespresso,2,0
2025-12-14,coffee,nespresso,2,0
2025-12-21,coffee,nespresso,1,0
2025-12-28,coffee,nespresso,2,0
2026-01-04,coffee,nespresso,1,0
2026-01-11,coffee,nespresso,1,0
2026-01-18,coffee,nespresso,1,0
2026-01-25,coffee,nespresso,2,0
2026-02-01,coffee,nespresso,1,0
2026-02-08,coffee,nespresso,1,0
2026-02-15,coffee,nespresso,1,0
2026-02-22,coffee,nespresso,1,0
2026-03-01,coffee,nespresso,1,0
2026-03-08,coffee,nespresso,1,0
2026-03-15,coffee,nespresso,1,0
2026-03-22,coffee,nespresso,2,0
2026-03-29,coffee,nespresso,6,0
2026-04-05,coffee,nespresso,8,0
2026-04-12,coffee,nespresso,9,0
2026-04-19,coffee,nespresso,7,0
2026-04-26,coffee,nespresso,5,0
2026-05-03,coffee,nespresso,4,0
2026-05-10,coffee,nespresso,8,0
2026-05-17,coffee,nespresso,8,1
2025-05-18,coffee,ninja coffee,0,0
2025-05-25,coffee,ninja coffee,0,0
2025-06-01,coffee,ninja coffee,0,0
2025-06-08,coffee,ninja coffee,0,0
2025-06-15,coffee,ninja coffee,0,0
2025-06-22,coffee,ninja coffee,0,0
2025-06-29,coffee,ninja coffee,0,0
2025-07-06,coffee,ninja coffee,0,0
2025-07-13,coffee,ninja coffee,0,0
2025-07-20,coffee,ninja coffee,0,0
2025-07-27,coffee,ninja coffee,0,0
2025-08-03,coffee,ninja coffee,0,0
2025-08-10,coffee,ninja coffee,0,0
2025-08-17,coffee,ninja coffee,0,0
2025-08-24,coffee,ninja coffee,0,0
2025-08-31,coffee,ninja coffee,0,0
2025-09-07,coffee,ninja coffee,0,0
2025-09-14,coffee,ninja coffee,0,0
2025-09-21,coffee,ninja coffee,0,0
2025-09-28,coffee,ninja coffee,0,0
2025-10-05,coffee,ninja coffee,0,0
2025-10-12,coffee,ninja coffee,0,0
2025-10-19,coffee,ninja coffee,0,0
2025-10-26,coffee,ninja coffee,0,0
2025-11-02,coffee,ninja coffee,0,0
2025-11-09,coffee,ninja coffee,0,0
2025-11-16,coffee,ninja coffee,0,0
2025-11-23,coffee,ninja coffee,1,0
2025-11-30,coffee,ninja coffee,0,0
2025-12-07,coffee,ninja coffee,0,0
2025-12-14,coffee,ninja coffee,0,0
2025-12-21,coffee,ninja coffee,0,0
2025-12-28,coffee,ninja coffee,0,0
2026-01-04,coffee,ninja coffee,0,0
2026-01-11,coffee,ninja coffee,0,0
2026-01-18,coffee,ninja coffee,0,0
2026-01-25,coffee,ninja coffee,0,0
2026-02-01,coffee,ninja coffee,0,0
2026-02-08,coffee,ninja coffee,0,0
2026-02-15,coffee,ninja coffee,0,0
2026-02-22,coffee,ninja coffee,0,0
2026-03-01,coffee,ninja coffee,0,0
2026-03-08,coffee,ninja coffee,0,0
2026-03-15,coffee,ninja coffee,1,0
2026-03-22,coffee,ninja coffee,4,0
2026-03-29,coffee,ninja coffee,7,0
2026-04-05,coffee,ninja coffee,8,0
2026-04-12,coffee,ninja coffee,10,0
2026-04-19,coffee,ninja coffee,9,0
2026-04-26,coffee,ninja coffee,8,0
2026-05-03,coffee,ninja coffee,10,0
2026-05-10,coffee,ninja coffee,12,0
2026-05-17,coffee,ninja coffee,9,1
2025-05-18,drill,bosch,81,0
2025-05-25,drill,bosch,47,0
2025-06-01,drill,bosch,53,0
2025-06-08,drill,bosch,55,0
2025-06-15,drill,bosch,55,0
2025-06-22,drill,bosch,56,0
2025-06-29,drill,bosch,35,0
2025-07-06,drill,bosch,12,0
2025-07-13,drill,bosch,10,0
2025-07-20,drill,bosch,11,0
2025-07-27,drill,bosch,9,0
2025-08-03,drill,bosch,31,0
2025-08-10,drill,bosch,31,0
2025-08-17,drill,bosch,11,0
2025-08-24,drill,bosch,9,0
2025-08-31,drill,bosch,11,0
2025-09-07,drill,bosch,11,0
2025-09-14,drill,bosch,11,0
2025-09-21,drill,bosch,24,0
2025-09-28,drill,bosch,33,0
2025-10-05,drill,bosch,17,0
2025-10-12,drill,bosch,15,0
2025-10-19,drill,bosch,24,0
2025-10-26,drill,bosch,22,0
2025-11-02,drill,bosch,21,0
2025-11-09,drill,bosch,19,0
2025-11-16,drill,bosch,19,0
2025-11-23,drill,bosch,11,0
2025-11-30,drill,bosch,12,0
2025-12-07,drill,bosch,9,0
2025-12-14,drill,bosch,9,0
2025-12-21,drill,bosch,9,0
2025-12-28,drill,bosch,10,0
2026-01-04,drill,bosch,10,0
2026-01-11,drill,bosch,10,0
2026-01-18,drill,bosch,9,0
2026-01-25,drill,bosch,9,0
2026-02-01,drill,bosch,12,0
2026-02-08,drill,bosch,9,0
2026-02-15,drill,bosch,11,0
2026-02-22,drill,bosch,10,0
2026-03-01,drill,bosch,10,0
2026-03-08,drill,bosch,9,0
2026-03-15,drill,bosch,13,0
2026-03-22,drill,bosch,20,0
2026-03-29,drill,bosch,66,0
2026-04-05,drill,bosch,85,0
2026-04-12,drill,bosch,95,0
2026-04-19,drill,bosch,67,0
2026-04-26,drill,bosch,46,0
2026-05-03,drill,bosch,33,0
2026-05-10,drill,bosch,67,0
2026-05-17,drill,bosch,87,1
2025-05-18,drill,dewalt,29,0
2025-05-25,drill,dewalt,27,0
2025-06-01,drill,dewalt,26,0
2025-06-08,drill,dewalt,28,0
2025-06-15,drill,dewalt,30,0
2025-06-22,drill,dewalt,25,0
2025-06-29,drill,dewalt,26,0
2025-07-06,drill,dewalt,22,0
2025-07-13,drill,dewalt,22,0
2025-07-20,drill,dewalt,24,0
2025-07-27,drill,dewalt,24,0
2025-08-03,drill,dewalt,26,0
2025-08-10,drill,dewalt,25,0
2025-08-17,drill,dewalt,25,0
2025-08-24,drill,dewalt,25,0
2025-08-31,drill,dewalt,23,0
2025-09-07,drill,dewalt,24,0
2025-09-14,drill,dewalt,23,0
2025-09-21,drill,dewalt,24,0
2025-09-28,drill,dewalt,22,0
2025-10-05,drill,dewalt,19,0
2025-10-12,drill,dewalt,21,0
2025-10-19,drill,dewalt,21,0
2025-10-26,drill,dewalt,20,0
2025-11-02,drill,dewalt,20,0
2025-11-09,drill,dewalt,21,0
2025-11-16,drill,dewalt,23,0
2025-11-23,drill,dewalt,26,0
2025-11-30,drill,dewalt,24,0
2025-12-07,drill,dewalt,22,0
2025-12-14,drill,dewalt,21,0
2025-12-21,drill,dewalt,21,0
2025-12-28,drill,dewalt,19,0
2026-01-04,drill,dewalt,20,0
2026-01-11,drill,dewalt,19,0
2026-01-18,drill,dewalt,20,0
2026-01-25,drill,dewalt,23,0
2026-02-01,drill,dewalt,20,0
2026-02-08,drill,dewalt,22,0
2026-02-15,drill,dewalt,23,0
2026-02-22,drill,dewalt,21,0
2026-03-01,drill,dewalt,23,0
2026-03-08,drill,dewalt,25,0
2026-03-15,drill,dewalt,26,0
2026-03-22,drill,dewalt,33,0
2026-03-29,drill,dewalt,74,0
2026-04-05,drill,dewalt,96,0
2026-04-12,drill,dewalt,87,0
2026-04-19,drill,dewalt,74,0
2026-04-26,drill,dewalt,58,0
2026-05-03,drill,dewalt,48,0
2026-05-10,drill,dewalt,73,0
2026-05-17,drill,dewalt,83,1
2025-05-18,drill,makita,14,0
2025-05-25,drill,makita,9,0
2025-06-01,drill,makita,9,0
2025-06-08,drill,makita,12,0
2025-06-15,drill,makita,12,0
2025-06-22,drill,makita,9,0
2025-06-29,drill,makita,9,0
2025-07-06,drill,makita,7,0
2025-07-13,drill,makita,5,0
2025-07-20,drill,makita,6,0
2025-07-27,drill,makita,5,0
2025-08-03,drill,makita,10,0
2025-08-10,drill,makita,10,0
2025-08-17,drill,makita,6,0
2025-08-24,drill,makita,6,0
2025-08-31,drill,makita,5,0
2025-09-07,drill,makita,6,0
2025-09-14,drill,makita,7,0
2025-09-21,drill,makita,7,0
2025-09-28,drill,makita,5,0
2025-10-05,drill,makita,4,0
2025-10-12,drill,makita,3,0
2025-10-19,drill,makita,6,0
2025-10-26,drill,makita,5,0
2025-11-02,drill,makita,4,0
2025-11-09,drill,makita,4,0
2025-11-16,drill,makita,5,0
2025-11-23,drill,makita,4,0
2025-11-30,drill,makita,5,0
2025-12-07,drill,makita,5,0
2025-12-14,drill,makita,4,0
2025-12-21,drill,makita,4,0
2025-12-28,drill,makita,4,0
2026-01-04,drill,makita,4,0
2026-01-11,drill,makita,4,0
2026-01-18,drill,makita,4,0
2026-01-25,drill,makita,6,0
2026-02-01,drill,makita,5,0
2026-02-08,drill,makita,5,0
2026-02-15,drill,makita,5,0
2026-02-22,drill,makita,6,0
2026-03-01,drill,makita,6,0
