packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
11,20260527,D-0536-2026,Amerisource Health Services LLC,Ongoing,Class III,Drugs,"Primidone Tablets, USP, 250 mg, 100 Tablets (10 x 10 unit dose blister) per carton, Rx only, Distributed by:
American Health Packaging, Columbus, Ohio 43217.  Carton NDC: 68084-203-01; Individual Dose NDC: 68084-203-11",Cross contamination with other products: API contaminated with trace amounts of Acemetacin API.,USA Nationwide,"Lot#: 1027583, Exp 09/30/2027"
12,20260527,D-0543-2026,"ANI Pharmaceuticals, Inc.",Ongoing,Class II,Drugs,"Estradiol Gel, 0.1%, 0.25 mg, 0.25 g per packet, 30 packets per carton, Rx only, Distributed by: ANI
Pharmaceuticals, Inc., Baudette, MN 56623.  NDC 70954-531-20",Defective Container; packets were found to be either empty or partially full.,Nationwide in the USA,"Lot M251109, exp Nov 2027"
13,20260527,D-0539-2026,Sagent Pharmaceuticals,Ongoing,Class III,Drugs,"Busulfan Injection, 60 mg per 10 mL (6 mg per mL), 8x10 mL Single-Dose Vials, Rx only, Mfd. for Sagent
Pharmaceuticals, Schaumburg, IL 60195, Made in Canada, NDC 25021-241-10.",Failed Impurities/Degradation Specifications,Nationwide within the United States,"Lot #: 656412, Exp. Date 08/31/2026; 659646, Exp. Date 03/31/2027."
14,20260527,D-0533-2026,Lannett Company Inc.,Ongoing,Class III,Drugs,"Primidone Tablets USP, 250mg, 100-count bottle, Rx only, Distributed by: Lannett Company, Inc., Philadelphia,
PA 19136, NDC 0527-1231-01.",Cross contamination with other products: API contaminated with trace amounts of Acemetacin API.,USA Nationwide,"Lot#: 25283038A, Exp 1/31/2028; 25283564A, 25283565A, Exp 3/31/2028; 25285712A Exp 08/31/2028; 25284105A, Exp 4/30/2028; 25284874A, 25284875A, Exp 08/31/2028."
15,20260527,D-0542-2026,Haleon US Holdings LLC,Ongoing,Class II,Drugs,"Gas-X, Simethicone 125 mg/ ANTIGAS, 120 SoftGels, Distributed by: Haleon, Warren, NJ 07059, UPC: 3 00674 35041 9.",Labeling: Not Elsewhere Classified- Incomplete inactive ingredient information on the carton labeling.,U.S. Nationwide.,"Lot: KB5Y, Expires: 04/2028; MP4B, Expires: 05/2028; SS4F, Expires: 09/2028."
16,20260527,D-0549-2026,"Safecor Health, LLC",Ongoing,Class II,Drugs,"Vitamin B-Complex, Vitamin C & Folic Acid Dietary Supplement Oral Liquid, Contains: Folic Acid 799 mcg/5mL,
Delivers 5 mL per oral syringe, (Nephronex), Mfg By: LLORENS; Pkg by: Safecor, Columbus, OH.  NDC
54859-0516-08",Presence of a Foreign Substance; black particles observed in liquid,OH,"Lot, expiry: Lots 26110722, 26110743, exp 9/8/2026; Lot 26111218, exp 9/9/2026"
17,20260520,D-0525-2026,"Oasis Medical, Inc.",Ongoing,Class II,Drugs,"Oasis Tears PF, Preservative-Free Lubricant Eye Drops, 10mL/0.34 Fl OZ Bottle, Sterile, Manufactured for:
OASIS Medical, Inc., 514 S. Vermont Ave., Glendora, CA 91741, USA, Made in France, NDC 42126-6400-1.","Lack of Assurance of Sterility: The recall is being initiated out of an abundance of caution
following FDA observations noted during a recent inspection of Excelvision.",Nationwide within the United States,"Lot # 1V59, Exp Date: 05/31/26; Lot # 3V12, 3V69, Exp Date: 08/31/26."
18,20260520,D-0527-2026,"ENDO USA, Inc.",Ongoing,Class II,Drugs,"Buprenorphine Hydrochloride, Injection, 0.3mg/mL, 5x1 mL Single Dose Vials, Rx only, Manufactured for: Endo
USA, Malvern, PA 19855, NDC 42023-179-05.",Presence of particulate matter: identified as Buprenorphine free base,USA Nationwide,"Lot #: 84132, Exp 02/28/2027; 87693, Exp 03/31/2027"
19,20260520,D-0547-2026,"Ascend Laboratories, LLC",Ongoing,Class II,Drugs,"Ascend Laboratories, LLC, Metoprolol Succinate Extended-Release Tablets, USP, 25 mg* Rx Only, Manufactured by:
Alkem Laboratories Ltd., India, Distributed by: Ascend Laboratories, LLC, Parsippany, NJ 07054, NDC
67877-590-01.",Failed Dissolution Specifications,U.S. Nationwide,Lot # 25140859; Exp. Date: Jan 2027
20,20260513,D-0524-2026,"Central Admixture Pharmacy Services, Inc (CAPS)  Los Angeles",Ongoing,Class II,Drugs,"TPN bag (patient specific), Rx# 11-4909703-0-1, Compound Volume 1660 mL per bag, Rx only, Single Dose
Injection, Refrigerated Injection, Central Admixture Pharmacy Services, Los Angeles, 13128 Imperial Hwy, Santa
Fe Spr., CA 90670",Incorrect Product Formulation: product did not contain insulin as listed in the label.,CA,"Lot #: 11-4909703-0-1, Exp 12/28/2025"
21,20260513,D-0518-2026,"CareFusion 213, LLC",Ongoing,Class II,Drugs,"BD PurPrep, Povidone-iodine 8.3% w/w (0.83% available iodine) with isopropyl alcohol 72.5% w/w Sterile
Solution, 0.36 fl. oz. (10.5 mL) x 25 applicators per box. Carefusion 213, LLC, El Paso, TX 79912, subsidary
of Becton Dickinson and Co. NDC 54365-014-41",Lack of assurance of Sterility: potential product contamination,Nationwide in the USA,"Lots#  4263873, Exp. Date 08-31-2026, 4320590, Exp. Date 09-30-2026, 4320591, Exp. Date 10-31-2026."
22,20260513,D-0517-2026,"CareFusion 213, LLC",Ongoing,Class II,Drugs,"BD PurPrep, Povidone-iodine 8.3% w/w (0.83% available iodine) with isopropyl alcohol 72.5% w/w Sterile
Solution, 25x26mL Applicators per carton. Carefusion 213 LLC, El Paso, TX 79912, NDC 54365-014-42.",Lack of assurance of Sterility: potential product contamination,Nationwide in the USA,"Lot# 4258309,  4260329,  4256875, Exp. Date, 08-31-2026; 4296453, 4317319, 4290654,   Exp. Date 09-30-2026; 4322449, 4323861, 4318679, Exp Date 10-31- Exp."
23,20260513,D-0514-2026,Ajanta Pharma Ltd.,Ongoing,Class II,Drugs,"Duloxetine Delayed-Release Capsules, 30 mg, Rx Only, a) 90 Capsules, NDC 27241-098-09, b) 30 capsules, NDC
27241-098-03, c) 1000 Capsules, NDC 27241-098-10, Marketed by: Ajanta Pharma USA Inc., Bridgewater, NJ 08807,
Made in India","CGMP Deviations: Presence of N-nitroso-Duloxetine impurity above FDA recommended limit of 0.83
ppm, identified at the 12-month and 18-month long-term stability intervals.",Nationwide within U.S,"Lot#: a) PA10774, Exp. May 2026; b) PA10794, PA12174, Exp. Jun 2026; c) PA10804, Exp. Jun-26."
24,20260513,D-0523-2026,"Acella Pharmaceuticals, LLC",Ongoing,Class II,Drugs,"NAPROXEN ORAL SUSPENSION, USP, 125 mg/5mL, Rx only, 16fl oz (473 mL) bottles, Distributed by: Acella
Pharmaceuticals, LLC, Alpharetta, GA 30005, Made in Canada  NDC 42192-619-16",Chemical contamination; presence of lead and lithium above specification,Nationwide,"Lot: 23F02, Expires: 05/2026; 25A37, Expires: 01/2028."
25,20260513,D-0520-2026,JB Chemicals and Pharmaceuticals Ltd,Ongoing,Class II,Drugs,"Enalapril Maleate Tablets, USP, 20 mg, 1,000-count bottle, Rx only, Manufactured by: Unique Pharmaceutical
Laboratories (A Div. of J.B. Chemicals & Pharmaceuticals Ltd.), Mumbai 400 030, India, Distributed by: Rising
Pharma Holdings, Inc., East Brunswick, NJ 08816, NDC 64980-688-10.",Failed Impurities/Degradation Specifications:Out of specification result occurred in Organic Impurities Test,Nationwide in the USA,"Lot #: GEH25023, Expires: 6/30/2027"
26,20260513,D-0516-2026,Ajanta Pharma Ltd.,Ongoing,Class II,Drugs,"Duloxetine Delayed-Release Capsules, 20 mg, Rx Only, 60 capsules, Marketed by: Ajanta Pharma USA Inc.,
Bridgewater, NJ 08807, Made in India, NDC 27241-097-06.","CGMP Deviations: Presence of N-nitroso-Duloxetine impurity above FDA recommended limit of 0.83
ppm, identified at the 12-month and 18-month long-term stability intervals.",Nationwide within U.S,"Lot#: PA10734, Exp. Jun 2026."
27,20260513,D-0511-2026,Unichem Pharmaceuticals USA Inc.,Ongoing,Class III,Drugs,"busPIRone Hydrochloride Tablets, USP, 5 mg, 500-count bottle, Rx Only, Manufactured by Unichem Laboratories
LTD., Ind, Area, Meerut Road, Ghazibad - 201 003, India Manufactured for: Unichem Pharmaceuticals (USA), Inc.
East Brunswick, NJ 08816, NDC 29300-244-05.",Subpotent drug,USA Nationwide,"Lot: ZBUL25001, Exp 12/31/2027"
28,20260513,D-0522-2026,"Breckenridge Pharmaceutical, Inc.",Ongoing,Class II,Drugs,"Duloxetine Delayed-Release Capsules USP, 60mg, Rx Only, 90-count  bottle, Mfr. by Towa Pharmaceutical Eurpoe
S.L., Martorelles, (Barcelona), Spain, Dist. by. Breckenridge Pharmaceutical, Inc., Berkely Heights, NJ 07922,
NDC 51991-748-90.",CGMP Deviations; presence of N-nitroso-duloxetine impurity above the FDA recommended limit,Nationwide in the USA,"Lot: 241069C, Exp 05/31/2027"
29,20260513,D-0540-2026,B BRAUN MEDICAL INC,Ongoing,Class I,Drugs,"Lactated Ringer's Injection USP, 1000 mL container, Rx only, B. Braun Medical, Inc., Bethlehem, PA 18018-3524
USA, NDC 0264-7750-07.",Presence of Particulate Matter.,U.S.A. Nationwide,"Lot #:J4P756, J4S843, Exp 5/31/2027"
30,20260513,D-0513-2026,"Fresenius Medical Care Holdings, Inc.",Ongoing,Class II,Drugs,"DELFLEX, Dextrose Peritoneal Dialysis Solution with attached stay-safe Exchange Set for Intraperitoneal
Dialysis Only, 2.5% DEX. LM/LC, 2L 5PK, Part Number 054-20222, Fresenius Medical Care North America, 920
Winter Street, Waltham, MA 02451.",Lack of Assurance of Sterility: Potential leaks from perforations in bags.,Nationwide in the USA,"Lots 25CU02002,  25CU02011, 25CU02012, 25CU02013"
31,20260513,D-0519-2026,"Teva Pharmaceuticals USA, Inc",Ongoing,Class II,Drugs,"Octreotide Acetate for Injectable Suspension, for gluteal intramuscular use, 30 mg, In Single-Dose kits
containing: 8-mL vial of 30 mg strength, a pre-filled syringe containing 2 mL of diluent, one vial adapter,
and one sterile 1¿  19-gauge safety injection needle, Rx only, Manufactured in Greece BY: Pharmathen
International S.A, Rodopi, 69300 Greece, Manufactured For: TEVA Pharmaceuticals, Parsippany, NJ 07054. NDC Kit
Carton: 0480-9262-08; Vial Label: 0480-9260-01; Tray Label: 0480-9262-08; Diluent Label: 0480-9263-21.","Lack of Assurance of Sterility: Quality system deficiencies identified during a routine U.S Food
and Drug Administration (FDA) inspection at the contract manufacturer.",Nationwide in the USA,"Lot: 45011002, Exp. 03/31/2027"
32,20260513,D-0512-2026,"Fresenius Medical Care Holdings, Inc.",Ongoing,Class II,Drugs,"DELFLEX, Dextrose Peritoneal Dialysis Solution with attached stay-safe Exchange Set for Intraperitoneal
Dialysis Only,  1.5% DEX. LM/LC, 2L 5PK, Part Number 054-20221, Fresenius Medical Care North America, 920
Winter Street, Waltham, MA 02451.",Lack of Assurance of Sterility: Potential leaks from perforations in bags.,Nationwide in the USA,"Lot #: 25CU02007, 25CU02008, 25CU02009"
33,20260513,D-0515-2026,Ajanta Pharma Ltd.,Ongoing,Class II,Drugs,"Duloxetine Delayed-Release Capsules, 60 mg, Rx Only, 30 capsules, Marketed by: Ajanta Pharma USA Inc.,
Bridgewater, NJ 08807, Made in India, NDC 27241-099-03","CGMP Deviations: Presence of N-nitroso-Duloxetine impurity above FDA recommended limit of 0.83
ppm, identified at the 12-month and 18-month long-term stability intervals.",Nationwide within U.S,"Lot#: PA07434, Exp. May 2026."
34,20260506,D-0501-2026,"Thea Pharma, Inc.",Ongoing,Class II,Drugs,"Similasan, iVIZIA, Sterile Lubricant Eye Drops (Povidone 0.5%), 0.33 Fl oz (10 mL), Made in France,
Distributed by: Thea Pharma Inc., Waltham, MA 02451, NDC 59262-700-11","Lack of Assurance of Sterility: This recall has been initiated due to CGMP deviations found by
the FDA during an inspection of the manufacturer.",Nationwide within the United States,"Lot# 5S30B, 5S30C, Exp Date: April 30, 2026; Lot# 5S31B, 6S57B, Exp Date: May 31, 2026."
35,20260506,D-0507-2026,Wells Pharma of Houston LLC,Ongoing,Class II,Drugs,"Ketamine Hydrochloride Injectable Solution, 50mg/ml, (50 mg per mL) Volume: 1 mL, 5265 Kitty Drive, Houston,
TX  77054, NDC 73702-302-31.",cGMP deviations.,U.S. Nationwide.,"120925302312764, Exp Date 04/09/2026, 123125302312879  Exp Date, 05/05/2026, 123125302312880, Exp Date 05/05/2026, 010226302310003, Exp Date 05/06/2026, 010626302310007, Exp Date 05/08/2026, 010626302310008, Exp Date 05/08/2026  020426302310243, Exp Date 06/06/2026."
36,20260506,D-0500-2026,"Thea Pharma, Inc.",Ongoing,Class II,Drugs,"iVIZIA, Sterile Lubricant Eye Drops (Povidone 0.5%), 0.33 Fl oz (10 mL), Made in France, Distributed by: Thea
Pharma Inc., Waltham, MA 02451, NDC 82584-700-11","Lack of Assurance of Sterility: This recall has been initiated due to CGMP deviations found by
the FDA during an inspection of the manufacturer.",Nationwide within the United States,"Lot#: 3T36B, Exp. Date October 31, 2026."
37,20260506,D-0506-2026,Wells Pharma of Houston LLC,Ongoing,Class II,Drugs,"fentaNYL Citrate Injectable Solution in 0.9% Sodium Chloride, 1000 mcg/50mL (20 mcg per mL), well pharma of
Houston, NDC  73702-203-65.",cGMP deviations.,U.S. Nationwide.,Lot 022326203650432; Exp Date 06/25/2026
38,20260506,D-0504-2026,Wells Pharma of Houston LLC,Ongoing,Class II,Drugs,"fentaNYL Citrate injectable Solution in 0.9% Sodium Chloride, Narcotic, (2500 mcg/ 250 mL) (10 mcg per mL),
250 mL bag, wells pharma of Houston, NDC 73702-202-03.",cGMP deviations.,U.S. Nationwide.,"120125202032701, Exp Date 04/01/2026;  122625202032857, Exp Date 04/25/2026;  122625202032862, Exp Date 04/28/2026,  122625202032863. Exp Date 04/28/2026;  122625202032864, Exp Date 04/28/2026;  122625202032865, Exp Date 04/28/2026,  011226202030062, Exp Date 05/14/2026,  011326202030776, Exp Date 05/15/2026;  011326202030077, Exp Date 05/15/2026,  011626202030111, Exp Date 05/20/2026,  011926202030122, Exp Date 05/21/2026;   011926202030123, Exp Date 05/21/2026,  012726202030159, Exp Date 05/28/2026,  020226202030200, Exp Date 06/04/2026,  020326202030216, Exp Date 06/05/2026,  020426202030234, Exp Date 06/06/2026,  02182202030398,   Exp Date 06/20/2026."
39,20260506,D-0492-2026,Alcon Research LLC,Ongoing,Class II,Drugs,"GenTeal Tears, Lubricant Eye Gel, Sterile, 10g (0.34 Fl oz), Distributed by: Alcon Laboratories, Inc., Fort
Worth, Texas 76134, USA, NDC: 0065-8064-01.","Lack of Assurance of Sterility: Due to FDA inspection observations that it believes may impact
product quality.",Nationwide within the United States,"Lot #: 9T20, 9T50, 9T59, 1U30, 1U48, Exp Date: 4/30/2026; 4V15, Exp Date: 8/31/2026;  7V61, Exp Date: 12/31/2026; 1W47, 1W49, 1X14, Exp Date: 3/31/2027."
40,20260506,D-0526-2026,Hikma Pharmaceuticals USA INC,Ongoing,Class II,Drugs,"Alendronate Sodium Oral Solution, 70 mg/75 mL, 75 mL, Rx only, 4 x 75 mL Single Dose Bottles, Distr. by: Hikma
Pharmaceuticals USA Inc., Berkeley Heights, NJ 07922, NDC 0054-0282-59.","This recall is being conducted due to out of specification assay results in a limited number of
bottles that were stored on side.",US Nationwide.,"Lot # AC2040A, Exp Date: 04/2026"
41,20260506,D-0503-2026,Wells Pharma of Houston LLC,Ongoing,Class II,Drugs,"fentaNYL Citrate Injectable Solution, NARCOTIC, Cii, 1000 mcg/100 mL (10 mcg per mL), 100 mL bag, Wells Pharma
in Houston, NDC 73702-202-02.",cGMP deviations.,U.S. Nationwide.,"120925202022769, Expiration Date 04/09/2026,  123125202022883, Expiration Date 05/05/2026,  123125202022884, Expiration Date 05/05/2026 011226202020057, Expiration Date 05/14/2026, 011226202020058, Expiration Date 05/14/2026, 011626202020110, Expiration Date 05/20/2026 012726202020156, Expiration Date  05/28/2026. 012726202020161, Expiration Date 05/28/2026 020226202020195, Expiration Date 06/04/2026 021826202020386, Expiration Date 06/20/2026 022026202020417, Expiration Date 06/24/2026   022026202020424 Expiration Date 06/24/2026"
42,20260506,D-0499-2026,SCOPE HEALTH,Ongoing,Class II,Drugs,"Optase Dry Eye Intense Drops (Glycerin 0.2%), packaged in 0.33 fl oz, Sterile, Manufactured for Scope Health
Inc., 79 Madison Ave., 8th Floor, New York, NY 10016, USA, NDC 72972-002-01.",Lack of Assurance of Sterility,Nationwide within the United States,"Lot#: 8T98, 9T31, 9T32, Exp. Date: 30/04/26; 2V13, 2V14, 2V15, Exp. Date 30/06/26; 3V35, Exp. Date 31/08/26;3V36, 3V37, Exp. Date 30/09/26;  5V45, 5V46, 9V12, Exp. Date 31/03/27; 1X57, 1X70, 1X84, Exp. Date 31/05/27."
43,20260506,D-0505-2026,Wells Pharma of Houston LLC,Ongoing,Class II,Drugs,"fentaNYL Citrate Injectable Solution, Narcotic, CII, 1250 mcg/25mL (50 mcg per mL), 25 mL, wells pharma of
Houston, NDC 73702-204-25.",cGMP deviations.,U.S. Nationwide.,"Lot 011226204250063, Exp Date 05/14/2026"
44,20260506,D-0509-2026,"Water-Jel Technologies, LLC",Ongoing,Class III,Drugs,"Lidocaine Wound Gel (Benzalkonium Chloride, 0.13% and Lidocaine Hydrochloride, 2%), NET WT 0.5 OZ (14 g),
Distributed by: CVS PHarmacy, INc., One CVS Drive, Woonsocket, RI 02895. NDC 59898-950",Failed PH Specifications,Nationwide in the USA,"Lots: A5014, A5018, A5019"
45,20260506,D-0491-2026,Alcon Research LLC,Ongoing,Class II,Drugs,"Systane, Lubricant Eye Gel, Night Gel, Sterile, 10g (0.35 oz), Processed in France for: Alcon Laboratiroes,
Inc., Fort Worth, TX 76134, USA, NDC 0065-0474-01","Lack of Assurance of Sterility: Due to FDA inspection observations that it believes may impact
product quality.",Nationwide within the United States,"Lot#: 9T21, Exp Date: 4/30/2026; Lot# 1U63, 2U47, Exp Date: 5/31/2026; Lot# 6V00, 6V12, 8V54, Exp Date: 1/31/2027; Lot# 9V55, 8V58, 9V39, 9V97, Exp Date: 2/28/2027; Lot# 1W39, 1W40, Exp Date: 3/31/2027; Lot# 1X76, Exp Date: 4/30/2027."
46,20260506,D-0502-2026,Wells Pharma of Houston LLC,Ongoing,Class II,Drugs,"Phenylephrine Hydrochloride Injectable Solution, 40mg, 250*mL Bag, wells pharma of Houston, NDC 73702-122-03",cGMP deviations.,U.S. Nationwide.,"120325122032719, Exp Date 04/03/2026,  120425122032734 Exp Date 04/04/2026, 120425122032735, Exp Date 04/04/2026,  120925122032781, Exp Date 04/10/2026,  010626122030010, Exp Date, 05/08/2026,  010626122030009, Exp Date 05/08/2026,  010826122030031, Exp Date 05/13/2026,  010826122030032, Exp Date 05/13/2026,  011326122030072, Exp Date 05/15/2026,  011326122030071, Exp Date 05/15/2026,  011626122030107, Exp Date 05/20/2026,  011626122030106, Exp Date 05/20/2026,   011926122030118, Exp. Date, 05/21/2026,  011926122030119, Exp Date, 05/21/2026,  012726122030171, Exp Date, 05/29/2026,  012726122030170, Exp Date 05/29/2026,  012826122030181, Exp Date 05/30/2026,  012826122030182, Exp Date 05/30/2026,  020226122030201, Exp Date 06/04/2026,  020326122030217, Exp Date 06/05/2026,  020426122030235, Exp Date 06/06/2026,  020426122030242, Exp Date 06/06/2026,  020426122030241, Exp Date 06/06/2026,  020626122030260, Exp Date 06/09/2026,  020626122030256, Exp Date 06/09/2026,  020926122030303, Exp Date 06/11/2026,  021026122030308, Exp Date, 06/12/2026,  021126122030321, Exp Date 06/13/2026,  021126122030316, Exp Date 06/13/2026,  021226122030326, Exp Date 06/16/2026,  021326122030341, Exp Date 06/17/2026,  021726122030366, Exp Date 06/19/2026,  021726122030369, Exp Date 06/19/2026,  021826122030388, Exp Date 06/20/2026,  022026122030421, Exp Date 06/24/2026,  022026122030420, Exp Date 06/24/2026,  022326122030435, Exp Date, 06/25/2026,  031026122030552, Exp Date 07/10/2026,  031026122030553, Exp Date 07/10/2026"
47,20260506,D-0494-2026,"American Regent, Inc.",Ongoing,Class III,Drugs,"Levocarnitine Injection, USP, 1 g/5 mL (200 mg/mL), 5 mL Single-Dose Vial, For intravenous use, Rx Only,
American Regent, Inc., Shirley, NY 11967.  NDC: 0517-1045-01",Labeling: Missing Label,U.S. Nationwide,"Lot 24159N0C0, Exp. June 30, 2026 Lot 25193N0C0, Exp. July 31,  2027"
48,20260506,D-0508-2026,Wells Pharma of Houston LLC,Ongoing,Class II,Drugs,"fentaNYL Citrate Injectable Solution in 0.9% Sodium Chloride, 50 mcg/5mL)(10 mcg per mL), wells pharma, NDC 73702-202-15.",cGMP deviations.,U.S. Nationwide.,"Lot 020226202150202, Exp Date 05/05/2026."
49,20260429,D-0493-2026,The Harvard Drug Group LLC,Ongoing,Class II,Drugs,"Omega-3-Acid, Ethyl Esters, Capsules, USP, 1 gram, 50 capsules (5 x 10 unit dose blister cards) per carton, Rx
only, Packaged and Distributed by: Major Pharmaceuticals, Indianapolis, IN 46288.  NDC: 0904-7495-06","Failed Capsule Specifications: Out of specification results obtained during routine stability
testing for Loss on Drying of Capsule Shells.",Nationwide in the USA,"Lot#: Lot N02406, Exp 10/31/2026; Lot N02845, Exp 12/31/2026"
50,20260429,D-0489-2026,Harrow Eye LLC,Ongoing,Class II,Drugs,"FRESHKOTE LUBRICANT EYEDROPS, Sterile, 0.33 FL OZ (10mL), Harrow Eye LLC, Nashville, TN USA.",Lack of Assurance of Sterility,Nationwide within the United States,"Lot #: 1X68, 1X69, Exp. Date 05/31/2027."
51,20260429,D-0496-2026,B BRAUN MEDICAL INC,Ongoing,Class II,Drugs,"DEXTROSE INJECTION USP, 70%, 2000 mL bags, Rx only, Sterile, B. Braun Medical Inc., Bethlehem, PA 18018-3524,
USA, NDC: 0264-7387-50.",Lack of Assurance of Sterility; potential for leakage from the diaphragm port once the foil is removed.,US Nationwide.,"Lot # J5H166, J5H167, Exp Date: 30NOV2026."
