shipment_id,platform,platform_order_id,internal_sku,qty_shipped,ship_date,tracking_no,carrier
SHP-0036,jd,JD-2026060114,LC-UVS-04,2,2026-06-15,JDV6300036,JD Logistics
SHP-0037,jd,JD-2026060115,LC-GCW-05,1,2026-06-16,JDV6300037,JD Logistics
SHP-0017,tmall,TM-20260601-021,LC-HEM-01,2,2026-06-17,YT9100017,YTO Express
SHP-0038,jd,JD-2026060116,LC-HEM-01,1,2026-06-17,JDV6300038,JD Logistics
SHP-0054,pdd,PDD20260601013,LC-REC-03,1,2026-06-17,ST3800054,STO Express
SHP-0018,tmall,TM-20260601-022,LC-BRC-02,1,2026-06-18,YT9100018,YTO Express
SHP-0019,tmall,TM-20260601-023,LC-REC-03,1,2026-06-19,YT9100019,YTO Express
SHP-0039,jd,JD-2026060117,LC-BRC-02,2,2026-06-19,JDV6300039,JD Logistics
SHP-0055,pdd,PDD20260601015,LC-GCW-05,1,2026-06-20,ST3800055,STO Express
SHP-0020,tmall,TM-20260601-025,LC-GCW-05,2,2026-06-21,YT9100020,YTO Express
SHP-0056,pdd,PDD20260601016,LC-HEM-01,2,2026-06-21,ST3800056,STO Express
SHP-0021,tmall,TM-20260601-026,LC-HEM-01,1,2026-06-22,YT9100021,YTO Express
SHP-0040,jd,JD-2026060120,LC-GCW-05,2,2026-06-22,JDV6300040,JD Logistics
SHP-0022,tmall,TM-20260601-027,LC-BRC-02,2,2026-06-23,YT9100022,YTO Express
SHP-0041,jd,JD-2026060121,LC-HEM-01,2,2026-06-23,JDV6300041,JD Logistics
SHP-0042,jd,JD-2026060122,LC-BRC-02,1,2026-06-24,JDV6300042,JD Logistics
SHP-0057,pdd,PDD20260601018,LC-UVS-04,1,2026-06-25,ST3800057,STO Express
SHP-0023,tmall,TM-20260601-029,LC-UVS-04,3,2026-06-26,SF7200023,SF Express
SHP-0024,tmall,TM-20260601-030,LC-GCW-05,1,2026-06-29,YT9100024,YTO Express
SHP-0043,jd,JD-2026060125,LC-GCW-05,1,2026-06-29,JDV6300043,JD Logistics
