packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
2014,20250129,F-0418-2025,Cal Yee Farm LLC,Terminated,Class I,Food,Cal Yee's Dark Chocolate Walnuts (8-oz plastic bag),Undeclared milk,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2015,20250129,F-0414-2025,Cal Yee Farm LLC,Terminated,Class I,Food,Cal Yee's Dark Chocolate Raisins (8-oz plastic bag),Undeclared milk,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2016,20250129,F-0415-2025,Cal Yee Farm LLC,Terminated,Class I,Food,"Cal Yee Farm Dark Chocolate Apricots (8-oz plastic non-flex container) Cal Yee Farms Dark Chocolate Apricots
(8-oz plastic non-flex container)",Undeclared milk,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2017,20250129,F-0422-2025,Lidl US TRADING,Terminated,Class II,Food,"Buttered Vegetables KEEP FROZEN NET WT 10.5 OZ (300g) INGREDIENTS: CARROTS, PEAS, CALIFLOWER, CORN, BUTTER,
SUGAR, SALT, CORN STARCH, PARSLEY MAY CONTAIN WHEAT. DISTRIBUTED BY LIDL USA, LLC. 3500 S. CLARK STREET,
ARLINGTON, VA 22202 UPC 4 056489 122876","Undeclared Milk. During an FDA investigation the manufacturer was notified that the label does
not list the allergen milk in the ingredient statement.","Product was shipped to the following states: DC, DE, GA, MD, NC, NJ, NY, PA, SC & VA.",All lots
2018,20250129,F-0420-2025,Acme Smoked Fish Corp.,Terminated,Class I,Food,"KIRKLAND Signature Smoked Salmon NET WT 340 g (12 oz) MUST KEEP REFRIGERATED. INGREDIENTS: Atlantic Salmon
(Salmo Salar), Salt, and Natural Hardwood Smoke. Color Added. Distributed by: Costco Wholesale Corporation
P.O. Box 34535 Seattle, WA 98124-1535 UPC 0 96619 25697 6",The firm was notified after laboratory analysis that the product test positive for Listeria monocytogenes.,Product was shipped to distribution center and retail stores in FL,LOT 8512801270 Best By 11/13/2024
2019,20250129,F-0412-2025,Cal Yee Farm LLC,Terminated,Class I,Food,Cal Yee's Cajun Sesame Hot Sticks (1-lb plastic bag),"Undeclared wheat, Undeclared soybean oil","2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2020,20250129,F-0417-2025,Cal Yee Farm LLC,Terminated,Class II,Food,Cal Yee Farms Fruit Basket (50-oz),Undeclared almonds,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2021,20250129,F-0411-2025,Cal Yee Farm LLC,Terminated,Class I,Food,"Cal Yee's Tropical Trail Mix - assorted nuts and dried fruits (8-oz, 1-lb, 2-lb, 5-lb plastic bags)",Undeclared milk,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2022,20250129,F-0413-2025,Cal Yee Farm LLC,Terminated,Class I,Food,Cal Yee's New Orleans Hot Mix (1-lb plastic bag),"Undeclared wheat, Undeclared soybean oil","2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2023,20250129,F-0408-2025,River Valley Ranch Ltd,Terminated,Class III,Food,"River Valley Ranch & Kitchens Spinach Artichoke Dip Mix.  net wt. 16 oz. (453g).  UPC 6 92016-40021 1.  Keep
Refrigerated After Opening.  39900 60th Street, Burlington, WI  53105.",Underprocessing,WI,BATCH:  40124113001 BATCH:  40124113002 BATCH:  40124113003
2024,20250129,F-0409-2025,Cal Yee Farm LLC,Terminated,Class I,Food,Cal Yee's Dark Chocolate Almonds (8-oz plastic bag),Undeclared milk,"2 retail stores (CA) and online/phone orders (CA, PA).",No codes
2025,20250129,F-0424-2025,Braga Fresh Foods LLC,Ongoing,Class I,Food,"Marketside, BROCCOLI FLORETS, 12oz, BEST IF USED BY DEC 10 2024, PRODUCT OF USA, MEXICO",Potential contamination with Listeria monocytogenes.,"Walmart retail stores: AK, AR, AZ, CA, CO, ID, IL, IN, KY, LA, MI, MT, NV, OH, OK, OR, TX, UT, WA, WY",BFFG327A6 13:56
2026,20250122,F-0399-2025,HARDIES FRESH FOODS,Terminated,Class I,Food,"14019 Cucumber Select 6 CT, 01034 Cucumber Select 5# packaged in polybags Dairyland Produce, LLC",Cucumbers have the potential to be contaminated with Salmonella,Texas,PRODUCT DESCRIPTION LOT CUCUMBER SELECT                  5# X2377626 CUCUMBER SELECT                  5# X2377665 CUCUMBER SELECT                  5# X2378321 CUCUMBER SELECT                  5# X2378322 CUCUMBER SELECT                  5# X2378323 CUCUMBER SELECT                  5# X2378451 CUCUMBER SELECT                  5# X2378845 CUCUMBER SELECT                  5# X2378846 CUCUMBER SELECT                  5# X2378878 CUCUMBER SELECT                  5# X2378986 CUCUMBER SELECT                  5# X2379632 CUCUMBER SELECT                  5# X2380656 CUCUMBER SELECT                  5# X2381011 CUCUMBER SELECT                  5# X2381079 CUCUMBER SELECT                  5# X2381084 CUCUMBER SELECT                  5# X2381089 CUCUMBER SELECT                  5# X2381311 CUCUMBER SELECT                  5# X2381629 CUCUMBER SELECT                  5# X2381657 CUCUMBER SELECT                  5# X2381669 CUCUMBER SELECT                  5# X2381684 CUCUMBER SELECT                  5# X2382260 CUCUMBER SELECT                  5# X2382301 CUCUMBER SELECT                  5# X2382330 CUCUMBER SELECT                  5# X2382712 CUCUMBER SELECT                  5# X2383350 CUCUMBER SELECT                  5# X2383437 CUCUMBER SELECT                  5# X2384557 CUCUMBER SELECT                  5# X2384586  CUCUMBER SELECT                6 CT X2377074 CUCUMBER SELECT                6 CT X2379602 CUCUMBER SELECT                6 CT X2381000 CUCUMBER SELECT                6 CT X2381080 CUCUMBER SELECT                6 CT X2383400 CUCUMBER SELECT                6 CT X2384557 CUCUMBER SELECT                6 CT X2384587
2027,20250122,F-0393-2025,First  Quality Produce,Terminated,Class I,Food,"Cucumber Coins (sliced cucumbers); 1.25-oz, 2-oz, 2.16-oz, 2.25-oz, 2.6-oz, 3-oz, 4-oz Brand: Snack Buddies",Potential contamination with Salmonella.,Distributed within CA to 13 consignees. Product was not distributed to retail.,"293/073, 294/072, 303/063, 304/062, 305/061, 313/053, 314/052, 315/051, 321/045, 322/044, 324/042, 325/041, 333/033, 334/032"
2028,20250122,F-0404-2025,"Las Delicias Distributors, LLC",Terminated,Class II,Food,El Gallo Jalape¿o Queso salsa,Product does not include statement: Contains milk,Texas (Houston and Dallas areas),"LOT Numbers: 104240619-1, 104240619, 104240723"
2029,20250122,F-0426-2025,Abbey Specialty Foods,Terminated,Class I,Food,"Wicklow Gold Cheddar Tomato & Herb, 5.2 oz., plastic cryo-vac , 8 packages per case",Product may have Listeria Monocytogenes.,"The recalled product was distributed to the following states: MA, CO, OH",Wicklow Gold Cheddar Tomato & Herb/Batch 24175/ Item 28473/Sell by 6/2/25
2030,20250122,F-0389-2025,The Kroger Co,Terminated,Class I,Food,"BOAR'S HEAD HUMMUS VEG PLATTER SM, 2.5 lb., packaged in a plastic container with a plastic lid, UPC 42421-61545","Platters and trays prepared in-store may contain cut cucumbers that were previously recalled due
to potential contamination with Salmonella.","AZ, CO, LA, NM, TX, UT, WY",All lot codes
2031,20250122,F-0402-2025,Pinsarella Food LLC,Terminated,Class I,Food,"Pinsarella Roman Pizza, POL127-24, UPC 6 08539 14655 0 -Oval, 12x7/ 7.0 Oz, Parbaked, 6 units per bag, 24
units per box., UPC 1 98715 69442 0 - Oval, 14x9/ 10.6 Oz, Parbaked, 6 units per bag, 24 units per box., UPC 6
08539 33371 4 - Round, 8"" / 5.0 Oz, Parbaked, 6 units per bag, 36 units per box., Good Until: 12 months if
kept frozen, 10 days if kept refrigerated. Pinsarella Food LLC 760 Sycamore Ave. Suite D, Vista , CA 92083,
sales@pinsarella.com, www.pinsarella.com;",Undeclared allergens (Wheat and Soy),Product is packaged and sold to distributors who supply restaurant business in California.,USE by date: 12/09/2025
2032,20250122,F-0386-2025,"Orgain, LLC",Terminated,Class I,Food,"Orgain 30g Plant Protein, Complete Protein Powder, 6g Prebiotic +Fiber, 9g EAAS+BCAAs, 1gSugar, Chocolate
Flavor; NET WT 32.1 OZ (2.01 LB) 912g; Nutritional Facts: Serving size 2 scoops, UPC: 8 51770 00760 3;
QUESTIONS ABOUT ORGAIN PRODUCTS? 888-881-GAIN(4246) Lot# 4172-02-P",Potential contamination of undeclared allergen peanuts,"Direct account list is still being compiled by firm. Customers include other than domestic. 6 total direct accounts( 4 distributors, 2 retail)",Expiration date: 06-20-26
2033,20250122,F-0400-2025,WHOLESALE PRODUCE SUPPLY LLC DBA,Terminated,Class I,Food,"Cucumbers, Wholesale Produce Supply, 752 Kasota Circle, Minneapolis, MN  554145. Product of Mexico.  Cucumbers
sold in the following pack sizes:   1.  5 lb. pack 2.  6 ct individual items per case.   3.  12 ct individual
items per case.  4.  24 ct individual items per case.  5.  36 ct individual items per case.",Cucumbers may be contaminated with Salmonella.,"IA, IL, KS, MN, MT, ND, NE, SD, WI and Canada",Pack Date:  79 24353 Lot 542547
2034,20250122,F-0394-2025,First  Quality Produce,Terminated,Class I,Food,Cucumber Coins (sliced cucumbers); 5-lb plastic trays Brand: First Quality Produce,Potential contamination with Salmonella.,Distributed within CA to 13 consignees. Product was not distributed to retail.,"304/062, 321/045, 333/033, 312/054, 311/055, 313/053, 314/052, 293/073, 294/072"
2035,20250122,F-0387-2025,The Kroger Co,Terminated,Class I,Food,"DELI FRESH VEGETABLE TRAY MED, 4 lb., packaged in a plastic container with a plastic lid, UPC 11110-99274","Platters and trays prepared in-store may contain cut cucumbers that were previously recalled due
to potential contamination with Salmonella.","AZ, CO, LA, NM, TX, UT, WY",All lot codes
2036,20250122,F-0390-2025,The Kroger Co,Terminated,Class I,Food,"BOAR'S HEAD HUMMUS VEG PLATTER MED, 5 lb., packaged in a plastic container with a plastic lid, UPC 42421-61547","Platters and trays prepared in-store may contain cut cucumbers that were previously recalled due
to potential contamination with Salmonella.","AZ, CO, LA, NM, TX, UT, WY",All lot codes
2037,20250122,F-0398-2025,"New Age International, Inc.",Terminated,Class I,Food,"Daily Veggies Enoki Mushroom, 200g Product of Korea UPC Codes: 8809159458890",may be contaminated with Listeria monocytogenes,"NY, MD",UPC code 8809159458890 on back label
2038,20250122,F-0395-2025,First  Quality Produce,Terminated,Class I,Food,Cucumber Spear; 5-lb plastic trays Brand: First Quality Produce,Potential contamination with Salmonella.,Distributed within CA to 13 consignees. Product was not distributed to retail.,313/053
2039,20250122,F-0388-2025,The Kroger Co,Terminated,Class I,Food,"SMALL VEGGIE PLATTER, 32 oz., packaged in a plastic container with a plastic lid, UPC 41573-26809","Platters and trays prepared in-store may contain cut cucumbers that were previously recalled due
to potential contamination with Salmonella.","AZ, CO, LA, NM, TX, UT, WY",All lot codes
2040,20250122,F-0425-2025,Abbey Specialty Foods,Terminated,Class I,Food,"Wicklow Gold Cheddar Nettle & Chive Cheese, 5.2 oz., plastic cryo-vac , 8 packages per case",Product may have Listeria Monocytogenes.,"The recalled product was distributed to the following states: MA, CO, OH",Wicklow Gold Cheddar Nettle & Chive /Batch 24192/ Item # 28472/sell by date 6/2/25.
2041,20250122,F-0397-2025,Summit Import Corporation,Terminated,Class II,Food,"Yu Yee, Five Spice Powder,1.76oz",Product tested and found high levels of lead.,"The product was distributed to the following states: NY, VA, CT, FL, OH, SC, AK, MA, NJ, GA, MN, MO, IA, PA, MD, Bahamas",06072/WH538
2042,20250122,F-0401-2025,Eclectic Institute Inc,Terminated,Class III,Food,"Eclectic Herb Vitamin Herb Blend vita biotic dietary supplement, 750mg, 150 capsules per plastic bottle, UPC 0
23363 52002 2. Eclectic Institute, Inc. 755 NE 6th Street Gresham, OR 97030.  The affected label declared
""Oregon Grape 190mg ***Oregon Grape 97mg***Cayenne Root (Allium sativum) 195mg ***Ginger Fruit (Capsicum
annuum) 65mg***"".","Product's ingredients names such as Oregon Grape, Cayenne Root, and Ginger Fruit and their
quantities were not listed correctly in the Supplement Facts panel.",nationwide,Lot 25183; Exp date 10/2024 Lot 25543; Exp Date 03/2025
2043,20250122,F-0396-2025,First  Quality Produce,Terminated,Class I,Food,Cucumber Diced; 5-lb plastic trays Brand: First Quality Produce,Potential contamination with Salmonella.,Distributed within CA to 13 consignees. Product was not distributed to retail.,"294/072, 312/054, 314/052"
2044,20250115,F-0379-2025,Grecian Delight/Kronos,Terminated,Class I,Food,"Nick The Greek Spicy Yogurt Pail, 42lbs pail, UPC 10075365177756, SKU SA000085",potential for salmonella,AR CA CO FL GA ID IL IN KS KY LA MD MI MN MO MS NC NJ NV NY OH PA SC TN TX VA WI,Lot 4305
2045,20250115,F-0407-2025,TREE HOUSE FOODS INC,Terminated,Class II,Food,"Great Value, Chicken Broth,  48 oz. , Aseptic paper cartons, 6 retail units per case, 120 cases/pallet .","Potential for packaging failures that could compromise the sterility of the product, resulting in spoilage.","The product was distributed to one Direct Consignee, two locations:  AL, AR","a. Best if Used by: MAR 25, 2026 b. Batch (Lot) code: 98F09234 c. Retail Unit UPC: 007874206684 d. Case UPC: 078742066844"
2046,20250115,F-0381-2025,Better Brands Inc.,Terminated,Class II,Food,Chow Ciao Whole Grain Breaded Broccoli Nuggets - 30 lbs.,Contains foreign object (metal),tbd,Lot number: 24241  Production date: 08/27/2024
2047,20250115,F-0380-2025,Olympia Foods,Terminated,Class I,Food,"Olympia Foods Grecian Dip Tzatziki sauce, item 100, 4 lb. tubs, UPC 10045059001001, 4 tubs per case; item 104,
32lbs pail, UPC 00045059001042",potential for salmonella,CO CT FL GA IL IN MO NC NJ NY OH ON PA WA WI,"Item 100, lots 030125, 030525, 030625, 031225 Item 104, lot 030425"
2048,20250115,F-0378-2025,Grecian Delight/Kronos,Terminated,Class I,Food,"US Foods Chef's Line Greek Yogurt Tzatziki 4lbs tub, UPC 758108679962, SKU SAL519448,  2 tubs per case.  Nick
The Greek Tzatziki Pail, 42lbs pail, UPC 10075365177787, SKU SA000084",potential for salmonella,AR CA CO FL GA ID IL IN KS KY LA MD MI MN MO MS NC NJ NV NY OH PA SC TN TX VA WI,"US Foods Chef's Line Greek Yogurt Tzatziki, Lot 4303  Nick The Greek Tzatziki Pail, Lot 4305"
2049,20250115,F-0392-2025,HP Hood (VERNON),Terminated,Class II,Food,WELLSLEY FARM PLAIN NON-FAT GREEK YOGURT; 40 oz; UPC 888670048085,Products may contain foreign objects (plastic).,"MD, CT, KY",Code dates: 12/4/2024  12/11/2024 12/18/2024   12/25/2024   1/1/2025   1/8/2025   1/15/2025
2050,20250115,F-0382-2025,"Palermo Villa, Inc",Terminated,Class II,Food,"Connie's Classic Thin Crust Cheese Pizza, Chicago's Finest.  Net Wt 20.36 oz.  (1lb 4.36 oz) 577g.  UPC 0
75706-19104 8.  Keep Refrigerated.  Distributed by:  Palermo Villa, nc. Milwaukee, WI  53208.",Foreign material (plastic),"IL, MN, WI",Lot Number:  MR199856
2051,20250115,F-0384-2025,"C.H. Guenther & Son, Inc.",Terminated,Class I,Food,"235214 Baker's Source Traditional Cornbread Mix Complete, 5 LB Bags, 30 LB Cases Foodservice Use, Human
Consumption & mix with water and bake Shelf Stable Dry Mix, 1 Year Shelf Life",Undeclared egg allergen,"Louisiana, Tennessee, Texas, Oklahoma, Arkansas, Missouri, Florida, Virginia",Item:  235214 6/5# Baker s Source Traditional Cornbread Mix MFG Dates Lot Codes 5/22/2024 PF052224 6/24/2024 PF062424 6/25/2024 PF062524 7/25/2024 PF072524 7/26/2024 PF072624 8/21/2024 PF082124 8/22/2024 PF082224 9/16/2024 PF091626 9/18/2024 PF091824 9/20/2024 PF092024 10/4/2024 PF100424 10/5/2024 PF100524 10/23/2024 PF102324 11/1/2024 PF110124
2052,20250115,F-0391-2025,HP Hood (VERNON),Terminated,Class II,Food,WELLSLEY FARM VANILLA NON-FAT GREEK YOGURT; 40 oz; UPC 888670048078,Products may contain foreign objects (plastic).,"MD, CT, KY",Code dates: 12/4/2024  12/11/2024 12/18/2024   12/25/2024   1/1/2025   1/8/2025   1/15/2025
2053,20250115,F-0385-2025,"Dairyland Produce, LLC",Terminated,Class I,Food,Texas Harvest Product: 01035 Cucumber Sliced 5# 5-pound trays with sealed film,Cucumbers have the potential to be contaminated with Salmonella.,Texas,X0710777
2054,20250115,F-0377-2025,Grecian Delight/Kronos,Terminated,Class I,Food,"Grecian Delight Tzatziki sauce, 3.75 lb. tub, UPC 07365000286, SKU SAL028, 4 tubs per case. Sysco Classic
Tzatziki sauce, 3.75 lb. tub, UPC 074865886277, SKU SAL9669136, 4 tubs per case.",potential for salmonella,AR CA CO FL GA ID IL IN KS KY LA MD MI MN MO MS NC NJ NV NY OH PA SC TN TX VA WI,"Grecian Delight Tzatziki sauce, Lots 4304 and 4303 Sysco Classic Tzatziki sauce, Lot 110124"
2055,20250108,F-0362-2025,"Reser's Fine Foods, Inc.",Terminated,Class I,Food,"Beef & Lamb Gyro Sandwich Express Meal Kit. Net wt. 31.8oz. UPC 0 13454 38313 1.   Each kit contains 6 Pitas,
Gyro Meat, Tzatziki Sauce 3oz. cups, Fire Feta Sauce, Feta Cheese Crumbles.  Packaged in clear plastic
clamshell. Distributed by Fresh Creative Foods, Vista CA.","Salmonella. Beef & Lamb Gyro Sandwich Express Meal Kit contains implicated cucumber in the
tzatziki sauce 3oz. cup.","Distributed in AZ, CA, CO, FL, GA, IL, IN, KS, LA, MD, MN, MO, NC, NY, OH, OK, TX, UT and WY.",Kit has use by dates:   12/24/2024  12/25/2024 12/28/2024  1/2/2025  1/6/2025
2056,20250108,F-0359-2025,"Grimmway Enterprises, Inc. dba Grimmway Farms",Terminated,Class I,Food,"--- Organic Baby Carrots --- Organic Baby Carrots 25 Grimmway Farms; Organic Baby Carrots 25 Lbs. Grimmway
Farms --- Brand --- Grimmway Farms",Potential contamination with E. coli O121:H19,"Distribution Centers located in U.S. States: AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, NC, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI U.S. Territories: Puerto Rico Foreign Countries: Canada, United Arab Emirates, Hong Kong, Columbia",127734 127773 127830 127871 127875 127936 127975 127978 128036 128059 128063 128129 128133 128163 128238 128264 128291 128336 128383 128482
2057,20250108,F-0371-2025,RUSS DAVIS WHOLESALE,Terminated,Class I,Food,"Kowalski's Garden Salad Net Wt. 14oz.  Keep Refrigerated.  UPC  7 95631-89335 9.    Containing Lettuce,
Cucumber, Tomatoes, Broccoli, Cheddar Cheese, Onion, Hard Cooked Eggs, Carrots, Roasted Sunflower Kernels.",Cucumbers have potential to be contaminated with Salmonella.,"IA, IL, KS, MI, MN, MT, ND, NE, SD, WI, WY","Use/Sell By Dates:  November 6 - November 15, 2024 Lot Codes: X7545630, X7550110, X7554755, X7558921, X7562768."
2058,20250108,F-0341-2025,Gracie's Kitchens Inc.,Terminated,Class II,Food,"a.) King Kullen brand Tropical Fruit Cup; UPC: 85316-10384; 16 oz plastic container b.) King Kullen brand
Tropical Fruit Cup; UPC: 85316-10403; 12 oz plastic container c.) Gracie's Kitchen brand Tropical Fruit Cup;
UPC: 85316-10384; 16 oz plastic container d.) Gracie's Kitchen brand Tropical Fruit Cup: UPC: 85316-10403; 12
oz plastic container",Product may be contaminated with Listeria monocytogenes.,CT and NY,a.) Sell By Dates: 11/11-11/21/24 b.) Sell By Dates: 11/11-11/21/24 c.) Sell By Dates: 11/11-11/21/24 d.) Sell By Dates: 11/11-11/21/24
2059,20250108,F-0434-2025,"Heber Valley Artisan Cheese, LLC.",Terminated,Class I,Food,"Cascade Raw Cheddar  GTIN #90854115003059 packed in an approximately 6 lb quarter wheels vacuum sealed.  All
quarter wheels are variable weight sold by the pound and each vacuum sealed package contains 1 quarter wheel.","The Cascade Raw Cheddar Cheese was recalled due to Shiga toxin-producing E. coli (STEC) and
elevated generic E.coli in finished product testing results.","Product was distributed to MT, NV, UT, WY.",Any LOT code ending in 177 with a Sell By date of approximately May 2025.  Lot Code: 1106177
2060,20250108,F-0363-2025,"Reser's Fine Foods, Inc.",Terminated,Class I,Food,"FCF Item 404884, Gyro Kit With Trays. Each tray consists of 2/5.25lbs. packages. UPC 0 13454 38155.
Distributed by Fresh Creative Foods, Vista CA.   Each kit consists of 8 bags of Traditional Pita Bread,
2/32oz. bags of Gyro Slices, 2 Sleeves of 4/2oz. cups premium Tzatziki sauce, 2 sleeves of 4/2oz. cups fire
Feta sauce, 1 full Rib lid & tray Combo for 8 packs, and label #5108 Gyro on Premise.  This product is sold to
consignees for further assemble/repack and each 5.25lbs. tray is not sold directly to consumers.","Salmonella. Item 404884, Gyro Kit With Trays contains implicated cucumber in the tzatziki sauce 2oz. cup.","Distributed in AZ, CA, CO, FL, GA, IL, IN, KS, LA, MD, MN, MO, NC, NY, OH, OK, TX, UT and WY.",Kit has use by dates: 12/29/2024  12/31/2024  1/1/2025  1/2/2025  1/7/2025
2061,20250108,F-0356-2025,Sprouts Farmers Market,Terminated,Class I,Food,"Sprout Gyro Family Kit, net wt. 1.750 lb (794 g), food, perishable, plastic tray, 28oz, U UPC 20594800000.",Cucumbers from Baloian Farms in tzatziki sauce have the potential to be contaminated with Salmonella.,"AL, AZ, CA, CO, DE, FL, GA, KS, LA, MD, MO, NC, NJ, NM, NV, OK, PA, SC, TN, TX, UT, VA, WA, and WY",Use By Date range is 12/29/24 - 01/07/25
2062,20250108,F-0330-2025,Gracie's Kitchens Inc.,Terminated,Class II,Food,"a.) King Kullen brand Diced Red Onion; UPC: 85316-10086; 12 oz plastic container b.) Wild By Nature brand
Diced Red Onion; UPC: 85316-10086; 12 oz plastic container c.) Gracie's Kitchen brand Diced Red Onion; UPC:
85316-10017; 10 oz plastic container d.) Gracie's Kitchen brand Diced Red Onion; UPC: 85316-10086; 10 oz
plastic container",Product may be contaminated with Listeria monocytogenes.,CT and NY,a.) Sell By Dates: 11/12-11/22/24 b.) Sell By Dates: 11/12-11/22/24 c.) Sell By Dates: 11/12-11/22/24 d.) Sell By Dates: 11/12-11/22/24
2063,20250108,F-0337-2025,Gracie's Kitchens Inc.,Terminated,Class II,Food,"a.) King Kullen brand Fiesta Bowl; UPC: 85316-10201; 64 oz plastic container b.) Wild By Nature brand Fiesta
Bowl; UPC: 85316-10201; 64 oz plastic  c.) Gracie's Kitchen brand Fiesta Bowl; UPC: 85316-10214; 60 oz plastic
container",Product may be contaminated with Listeria monocytogenes.,CT and NY,a.) Sell By Dates: 11/9-11/19/24 b.) Sell By Dates: 11/9-11/19/24 c.) Sell By Dates: 11/11-11/21/24
2064,20250108,F-0351-2025,Gracie's Kitchens Inc.,Terminated,Class II,Food,a.) Gracie's Kitchen brand Broccoli & Cauliflower Florets; UPC: 85316-1009; 12 oz foam tray,Product may be contaminated with Listeria monocytogenes.,CT and NY,a.) Sell By Dates: 11/14-11/24/24
